name,geometry
,POINT (77.161714 28.7532682)
,POINT (77.1616166 28.7534815)
,POINT (77.1618425 28.7534802)
,POINT (77.162267 28.7536915)
,POINT (77.1616791 28.7528296)
Gaurav General Store,POINT (77.1617664 28.7532598)
,POINT (77.1625761 28.7526962)
,POINT (77.1616553 28.7532476)
,POINT (77.1616592 28.7535536)
,POINT (77.1617248 28.7539714)
,POINT (77.1618138 28.7535436)
,POINT (77.1617544 28.7527885)
Jaiswal Trading Company,POINT (77.1626011 28.7538838)
Anil General Store,POINT (77.1627311 28.7539423)
,POINT (77.1617715 28.7539665)
Pandey Ji Store,POINT (77.1737916 28.7261865)
,POINT (77.1732585 28.7224058)
Satguru Kabir Saheb Tea Stall,POINT (77.1612408 28.7249127)
,POINT (77.1608015 28.7248254)
,POINT (77.1608709 28.7247748)
,POINT (77.1786256 28.7199059)
Hari Om Store,POINT (77.1695055 28.7226552)
Lucky General Store,POINT (77.1693886 28.7230079)
,POINT (77.1620209 28.7525187)
,POINT (77.1621135 28.7518977)
,POINT (77.1630683 28.7526426)
,POINT (77.1637382 28.7523066)
,POINT (77.1614767 28.7433969)
,POINT (77.1605654 28.743316)
,POINT (77.1613464 28.7433946)
Khushi Store,POINT (77.1601656 28.7433648)
Sharma Ji,POINT (77.1596436 28.7432969)
,POINT (77.1587589 28.7433912)
,POINT (77.1588565 28.74318)
,POINT (77.1564401 28.7455363)
,POINT (77.1595133 28.7441418)
,POINT (77.1565878 28.7455706)
,POINT (77.1578186 28.748233)
,POINT (77.1574716 28.7484736)
,POINT (77.1598012 28.7465611)
,POINT (77.1595685 28.7482598)
,POINT (77.1590059 28.7482684)
,POINT (77.1595388 28.7483392)
,POINT (77.1596283 28.74656)
,POINT (77.1581574 28.7504382)
Om Sai General Store,POINT (77.159762 28.7466081)
,POINT (77.1584606 28.7477354)
,POINT (77.158808 28.7467667)
,POINT (77.15834 28.7464015)
,POINT (77.1585809 28.7469944)
,POINT (77.1587462 28.7470724)
,POINT (77.1564602 28.7472041)
Sonu Mobile Center,POINT (77.1574391 28.7466092)
,POINT (77.1565337 28.7477785)
,POINT (77.1587367 28.7466291)
,POINT (77.1566508 28.7481599)
,POINT (77.156647 28.7472146)
,POINT (77.1757613 28.7127757)
,POINT (77.154503 28.7486167)
,POINT (77.1569815 28.748765)
,POINT (77.1546566 28.7491434)
,POINT (77.1573002 28.7487705)
,POINT (77.15452 28.7490357)
,POINT (77.1783813 28.7126877)
Krishna General Store,POINT (77.1783414 28.7127497)
Saini Store,POINT (77.1784823 28.7125363)
,POINT (77.1788822 28.7127089)
,POINT (77.1535239 28.7463244)
,POINT (77.1535353 28.7468126)
,POINT (77.1545301 28.7468558)
,POINT (77.1536037 28.7463329)
,POINT (77.1540178 28.7489967)
,POINT (77.1524906 28.7500223)
,POINT (77.1522324 28.7497016)
,POINT (77.1526051 28.7502586)
,POINT (77.1533686 28.7490038)
,POINT (77.1520393 28.7506304)
,POINT (77.1544515 28.748913)
,POINT (77.1527162 28.7497906)
,POINT (77.1527758 28.7504315)
,POINT (77.1593402 28.7512926)
,POINT (77.1593421 28.7508176)
,POINT (77.1603101 28.7515786)
Deepak Store,POINT (77.1581088 28.7506124)
,POINT (77.1597976 28.7508903)
,POINT (77.1601179 28.7495495)
,POINT (77.1606438 28.7452671)
,POINT (77.1610976 28.7453241)
,POINT (77.1608526 28.7458912)
,POINT (77.1612007 28.7453194)
,POINT (77.1616804 28.7464955)
,POINT (77.1616608 28.746588)
,POINT (77.1608896 28.7465125)
,POINT (77.1612878 28.7452593)
,POINT (77.1652642 28.7324615)
,POINT (77.164875 28.7322424)
,POINT (77.1649128 28.7322366)
,POINT (77.1623227 28.7444627)
,POINT (77.1632682 28.7434605)
,POINT (77.1623274 28.7447333)
,POINT (77.1615135 28.7445739)
,POINT (77.1612108 28.7435204)
,POINT (77.1621668 28.7448798)
,POINT (77.1631385 28.7427655)
,POINT (77.1625466 28.743813)
,POINT (77.1618845 28.7447681)
,POINT (77.1614978 28.7452318)
,POINT (77.1625275 28.7433243)
,POINT (77.163167 28.7438147)
,POINT (77.1606571 28.7397315)
,POINT (77.1608514 28.7412916)
,POINT (77.1612551 28.7417159)
,POINT (77.1605597 28.7393272)
,POINT (77.1607527 28.7417153)
,POINT (77.160487 28.7393198)
,POINT (77.160818 28.7414915)
,POINT (77.1642112 28.7450119)
Vineet Store,POINT (77.1649312 28.7479646)
,POINT (77.1639596 28.7447086)
,POINT (77.1640199 28.7456185)
,POINT (77.1641369 28.7433702)
,POINT (77.1646806 28.7484503)
,POINT (77.1637753 28.7434386)
,POINT (77.1604029 28.7447957)
,POINT (77.162888 28.7455083)
Muskan Store,POINT (77.1615666 28.7458657)
Shri Radhe Krishna General Store,POINT (77.1621963 28.7464673)
,POINT (77.1624323 28.7475701)
,POINT (77.1628542 28.7484812)
,POINT (77.1626748 28.747622)
,POINT (77.1618302 28.7458104)
,POINT (77.16292 28.7475983)
,POINT (77.1624035 28.7476539)
,POINT (77.1626144 28.7469205)
,POINT (77.162057 28.7452453)
,POINT (77.1624266 28.747206)
,POINT (77.162197 28.7463605)
,POINT (77.1623458 28.7464501)
,POINT (77.1617256 28.7355678)
,POINT (77.1614565 28.7356567)
,POINT (77.160995 28.7362167)
,POINT (77.1600103 28.7362712)
,POINT (77.1610443 28.7364671)
,POINT (77.1732123 28.7507968)
,POINT (77.1751945 28.7508322)
,POINT (77.1802894 28.7512116)
,POINT (77.1780474 28.7507796)
,POINT (77.1780303 28.7509316)
,POINT (77.1785892 28.7513644)
,POINT (77.1797248 28.7513638)
,POINT (77.1803899 28.7512073)
Ashok Provision Store,POINT (77.1650819 28.7338624)
,POINT (77.1653534 28.7337188)
Jai Store,POINT (77.1677968 28.7350476)
,POINT (77.1796642 28.7523542)
Alok General Store,POINT (77.1790439 28.7521506)
,POINT (77.1781479 28.7514711)
,POINT (77.1781021 28.7528798)
,POINT (77.1779766 28.7529089)
,POINT (77.179626 28.7515313)
,POINT (77.1745177 28.7530261)
,POINT (77.1786404 28.7543551)
Neeraj General Store,POINT (77.1656208 28.746381)
,POINT (77.1659555 28.7414626)
,POINT (77.1707499 28.7518072)
,POINT (77.1685412 28.750272)
,POINT (77.168971 28.7511399)
,POINT (77.1685447 28.7503442)
,POINT (77.1690421 28.7504677)
,POINT (77.1688869 28.7503641)
,POINT (77.1691259 28.7503454)
,POINT (77.1690426 28.7508133)
,POINT (77.1714224 28.7348307)
,POINT (77.1718406 28.7342399)
,POINT (77.1710619 28.7345956)
,POINT (77.1715236 28.7343847)
,POINT (77.1716488 28.7337481)
,POINT (77.1713121 28.73451)
,POINT (77.1717652 28.7341576)
,POINT (77.1647085 28.7256539)
,POINT (77.1714146 28.7280223)
,POINT (77.1716886 28.7276758)
,POINT (77.1717963 28.7275338)
,POINT (77.1720057 28.7278528)
,POINT (77.1702806 28.727926)
,POINT (77.1718905 28.7277898)
Naim Store,POINT (77.1705868 28.7273358)
,POINT (77.1711036 28.7273778)
,POINT (77.1718737 28.7282208)
,POINT (77.1714652 28.7280546)
,POINT (77.1719471 28.7276237)
,POINT (77.1662331 28.7442708)
,POINT (77.1678356 28.7441438)
,POINT (77.16717 28.7437871)
,POINT (77.165017 28.7454725)
,POINT (77.1645874 28.7456816)
,POINT (77.1652395 28.7461466)
,POINT (77.1646701 28.745013)
Guru Nanak Store,POINT (77.171563 28.718036)
Vishal Mega Mart,POINT (77.1137379 28.7344764)
Reliance Smart,POINT (77.1134743 28.7343677)
Raj Mandir Hypermarket,POINT (77.1220251 28.7436135)
Goyal Store,POINT (77.1191886 28.7409181)
New Shiv Store,POINT (77.1457607 28.7437135)
Print Media,POINT (77.2051049 28.6980064)
Delhi Document Center,POINT (77.2051236 28.6980505)
,POINT (77.1285396 28.722654)
Charak Super Store,POINT (77.1237534 28.7071657)
